Navn;Stasjon;Tid(norsk normaltid);Minimumstemperatur (1 t);Høyeste middelvind (1 t);Høyeste vindkast (1 t)
Sola;SN44560;06.01.2024 15:00;-5,6;2,3;2,6
Sola;SN44560;06.01.2024 16:00;-6,8;2;2,1
Hamar - Stavsberg;SN12320;08.12.2023 16:00;-7,1;1,3;1,6
Hamar - Stavsberg;SN12320;08.12.2023 17:00;-7;1;1,6
Hamar - Stavsberg;SN12320;08.12.2023 18:00;-6,9;0,9;1,2
Hamar - Stavsberg;SN12320;08.12.2023 19:00;-6,8;1,3;1,7
Hamar - Stavsberg;SN12320;08.12.2023 20:00;-6,7;1,1;1,3
Hamar - Stavsberg;SN12320;08.12.2023 21:00;-6,4;1,1;1,5
Hamar - Stavsberg;SN12320;08.12.2023 22:00;-6,2;1,7;2,6
Hamar - Stavsberg;SN12320;08.12.2023 23:00;-5,6;1,2;1,8
Hamar - Stavsberg;SN12320;09.12.2023 00:00;-5,9;1,3;1,8
Hamar - Stavsberg;SN12320;09.12.2023 01:00;-5,9;1,5;2,1
Hamar - Stavsberg;SN12320;09.12.2023 02:00;-5,5;1,1;1,6
Hamar - Stavsberg;SN12320;09.12.2023 03:00;-5,1;1,3;2
Hamar - Stavsberg;SN12320;09.12.2023 04:00;-4,6;1,3;2,7
Hamar - Stavsberg;SN12320;09.12.2023 05:00;-3,1;2,1;3,9
Hamar - Stavsberg;SN12320;09.12.2023 06:00;-2,6;2,4;4,4
Hamar - Stavsberg;SN12320;09.12.2023 07:00;-2,1;3;5,9
Hamar - Stavsberg;SN12320;09.12.2023 08:00;-2,1;3,1;5,3
Hamar - Stavsberg;SN12320;09.12.2023 09:00;-1,8;2,9;5
Hamar - Stavsberg;SN12320;09.12.2023 10:00;-1,8;3,6;6,4
Hamar - Stavsberg;SN12320;09.12.2023 11:00;-1,7;3;6,2
Hamar - Stavsberg;SN12320;09.12.2023 12:00;-1,5;2,9;5,4
Hamar - Stavsberg;SN12320;09.12.2023 13:00;-1,2;4,1;7,1
Hamar - Stavsberg;SN12320;09.12.2023 14:00;-1,2;3,1;5,4
Hamar - Stavsberg;SN12320;09.12.2023 15:00;-1,2;3,8;5,9
Hamar - Stavsberg;SN12320;09.12.2023 16:00;-1,2;2,6;5
Hamar - Stavsberg;SN12320;09.12.2023 17:00;-1,3;2,6;5,1
Hamar - Stavsberg;SN12320;09.12.2023 18:00;-1,2;3,2;6,6
Hamar - Stavsberg;SN12320;09.12.2023 19:00;-1,2;3,4;6,9
Hamar - Stavsberg;SN12320;09.12.2023 20:00;-1,3;4,3;6,7
Hamar - Stavsberg;SN12320;09.12.2023 21:00;-1,4;3,9;6,9
Hamar - Stavsberg;SN12320;09.12.2023 22:00;-1,5;3,8;6,3
Hamar - Stavsberg;SN12320;09.12.2023 23:00;-1,7;3,5;7
Hamar - Stavsberg;SN12320;10.12.2023 00:00;-1,7;3,4;5,4
Hamar - Stavsberg;SN12320;10.12.2023 01:00;-1,8;3,4;5,9
Hamar - Stavsberg;SN12320;10.12.2023 02:00;-1,8;3;5,1
Hamar - Stavsberg;SN12320;10.12.2023 03:00;-1,8;2,9;5,2
Hamar - Stavsberg;SN12320;10.12.2023 04:00;-1,8;2,9;6
Hamar - Stavsberg;SN12320;10.12.2023 05:00;-1,8;2,9;5,1
Hamar - Stavsberg;SN12320;10.12.2023 06:00;-1,8;3,3;5,8
Hamar - Stavsberg;SN12320;10.12.2023 07:00;-1,9;2,9;5,3
Hamar - Stavsberg;SN12320;10.12.2023 08:00;-2;3,1;6,2
Hamar - Stavsberg;SN12320;10.12.2023 09:00;-2,1;2,9;5,1
Hamar - Stavsberg;SN12320;10.12.2023 10:00;-2,1;2,6;4,4
Hamar - Stavsberg;SN12320;10.12.2023 11:00;-2,2;2;3,6
Hamar - Stavsberg;SN12320;10.12.2023 12:00;-2,2;2;3,3
Hamar - Stavsberg;SN12320;10.12.2023 13:00;-2,1;2,2;3,5
Hamar - Stavsberg;SN12320;10.12.2023 14:00;-2,1;2,4;3,8
Hamar - Stavsberg;SN12320;10.12.2023 15:00;-2,2;2,3;3,7
Hamar - Stavsberg;SN12320;10.12.2023 16:00;-2,3;2,4;3,6
Hamar - Stavsberg;SN12320;10.12.2023 17:00;-2,4;2,7;4,5
Hamar - Stavsberg;SN12320;10.12.2023 18:00;-2,5;2,7;4,8
Hamar - Stavsberg;SN12320;10.12.2023 19:00;-2,7;2,3;3,7
Hamar - Stavsberg;SN12320;10.12.2023 20:00;-2,9;2,9;4,5
Hamar - Stavsberg;SN12320;10.12.2023 21:00;-3;3;4,7
Hamar - Stavsberg;SN12320;10.12.2023 22:00;-3;3,1;4,5
Hamar - Stavsberg;SN12320;10.12.2023 23:00;-3,3;2,7;4,3
Hamar - Stavsberg;SN12320;11.12.2023 00:00;-3,3;2,9;4,6
Hamar - Stavsberg;SN12320;11.12.2023 01:00;-3,2;2,6;4,6
Hamar - Stavsberg;SN12320;11.12.2023 02:00;-3,1;2,9;5
Hamar - Stavsberg;SN12320;11.12.2023 03:00;-3,2;2,9;5,2
Hamar - Stavsberg;SN12320;11.12.2023 04:00;-3,2;2,8;4,9
Hamar - Stavsberg;SN12320;11.12.2023 05:00;-3,2;2,7;4,5
Hamar - Stavsberg;SN12320;11.12.2023 06:00;-2,7;2,4;4,1
Hamar - Stavsberg;SN12320;11.12.2023 07:00;-2,7;2,2;3,9
Hamar - Stavsberg;SN12320;11.12.2023 08:00;-2,6;2,2;3,6
Hamar - Stavsberg;SN12320;11.12.2023 09:00;-2,5;2,2;3,8
Hamar - Stavsberg;SN12320;11.12.2023 10:00;-2,2;1,9;4,3
Hamar - Stavsberg;SN12320;11.12.2023 11:00;-2;2,8;5,5
Hamar - Stavsberg;SN12320;11.12.2023 12:00;-1,7;3,3;5,2
Hamar - Stavsberg;SN12320;11.12.2023 13:00;-1,6;2,3;4,5
Hamar - Stavsberg;SN12320;11.12.2023 14:00;-1,5;3,1;4,7
Hamar - Stavsberg;SN12320;11.12.2023 15:00;-1,5;2,8;4,1
Hamar - Stavsberg;SN12320;11.12.2023 16:00;-1,7;2,6;3,9
Hamar - Stavsberg;SN12320;11.12.2023 17:00;-1,8;2,4;3,4
Hamar - Stavsberg;SN12320;11.12.2023 18:00;-1,9;2,6;3,5
Hamar - Stavsberg;SN12320;11.12.2023 19:00;-2;2,1;2,8
Hamar - Stavsberg;SN12320;11.12.2023 20:00;-2,2;2,6;3,1
Hamar - Stavsberg;SN12320;11.12.2023 21:00;-2,1;1,7;2,6
Hamar - Stavsberg;SN12320;11.12.2023 22:00;-2,2;1,3;2
Hamar - Stavsberg;SN12320;11.12.2023 23:00;-2,2;1,3;1,8
Hamar - Stavsberg;SN12320;12.12.2023 00:00;-2,4;1,4;2
Hamar - Stavsberg;SN12320;12.12.2023 01:00;-2,6;1,1;1,5
Hamar - Stavsberg;SN12320;12.12.2023 02:00;-2,8;1,4;1,6
Hamar - Stavsberg;SN12320;12.12.2023 03:00;-3;1,1;1,8
Hamar - Stavsberg;SN12320;12.12.2023 04:00;-3,3;1,3;2,3
Hamar - Stavsberg;SN12320;12.12.2023 05:00;-3,3;1,7;2,6
Hamar - Stavsberg;SN12320;12.12.2023 06:00;-3,3;0,9;1
Hamar - Stavsberg;SN12320;12.12.2023 07:00;-3,3;1,7;2,3
Hamar - Stavsberg;SN12320;12.12.2023 08:00;-3,4;1,8;2,6
Hamar - Stavsberg;SN12320;12.12.2023 09:00;-3,3;1,6;3,1
Hamar - Stavsberg;SN12320;12.12.2023 10:00;-3,3;1,6;2,6
Hamar - Stavsberg;SN12320;12.12.2023 11:00;-3,3;1,5;3,1
Hamar - Stavsberg;SN12320;12.12.2023 12:00;-3,3;1,2;2
Hamar - Stavsberg;SN12320;12.12.2023 13:00;-3,4;1,1;1,8
Hamar - Stavsberg;SN12320;12.12.2023 14:00;-3,6;1,4;2,3
Hamar - Stavsberg;SN12320;12.12.2023 15:00;-3,9;1,5;2,5
Hamar - Stavsberg;SN12320;12.12.2023 16:00;-4,2;1,3;2
Hamar - Stavsberg;SN12320;12.12.2023 17:00;-4,4;1,3;2,3
Hamar - Stavsberg;SN12320;12.12.2023 18:00;-4,6;1,3;2
Hamar - Stavsberg;SN12320;12.12.2023 19:00;-4,8;1,2;2,2
Hamar - Stavsberg;SN12320;12.12.2023 20:00;-5;0,9;1,9
Hamar - Stavsberg;SN12320;12.12.2023 21:00;-5,1;0,9;1,8
Hamar - Stavsberg;SN12320;12.12.2023 22:00;-5;1,3;2,2
Hamar - Stavsberg;SN12320;12.12.2023 23:00;-5,2;1,3;2,2
Hamar - Stavsberg;SN12320;13.12.2023 00:00;-5,2;2;3,3
Hamar - Stavsberg;SN12320;13.12.2023 01:00;-5,1;1,8;2,6
Hamar - Stavsberg;SN12320;13.12.2023 02:00;-5,2;2,2;2,7
Hamar - Stavsberg;SN12320;13.12.2023 03:00;-5;1,7;3,6
Hamar - Stavsberg;SN12320;13.12.2023 04:00;-5,4;2,2;4,3
Hamar - Stavsberg;SN12320;13.12.2023 05:00;-5,3;1,8;2,2
Hamar - Stavsberg;SN12320;13.12.2023 06:00;-5,6;1,9;2,2
Hamar - Stavsberg;SN12320;13.12.2023 07:00;-5,7;2,8;3,4
Hamar - Stavsberg;SN12320;13.12.2023 08:00;-6;1,7;1,9
Hamar - Stavsberg;SN12320;13.12.2023 09:00;-6,2;1,1;1,4
Hamar - Stavsberg;SN12320;13.12.2023 10:00;-6,3;0,6;0,8
Hamar - Stavsberg;SN12320;13.12.2023 11:00;-6,1;1;1,2
Hamar - Stavsberg;SN12320;13.12.2023 12:00;-5,8;1;1,4
Hamar - Stavsberg;SN12320;13.12.2023 13:00;-5,8;0,8;1,1
Hamar - Stavsberg;SN12320;13.12.2023 14:00;-5,8;1;1,6
Hamar - Stavsberg;SN12320;13.12.2023 15:00;-6,6;0,6;0,9
Hamar - Stavsberg;SN12320;13.12.2023 16:00;-7,4;1,1;1,4
Hamar - Stavsberg;SN12320;13.12.2023 17:00;-8,4;1,1;1,5
Hamar - Stavsberg;SN12320;13.12.2023 18:00;-7,5;1,2;2
Hamar - Stavsberg;SN12320;13.12.2023 19:00;-7,3;0,8;1,7
Hamar - Stavsberg;SN12320;13.12.2023 20:00;-7;1,9;3,1
Hamar - Stavsberg;SN12320;13.12.2023 21:00;-5,9;2,4;4,4
Hamar - Stavsberg;SN12320;13.12.2023 22:00;-6,2;1,8;2,7
Hamar - Stavsberg;SN12320;13.12.2023 23:00;-6,7;2,5;3,2
Hamar - Stavsberg;SN12320;14.12.2023 00:00;-7,2;3,8;4,8
Hamar - Stavsberg;SN12320;14.12.2023 01:00;-7,5;3,8;4,2
Hamar - Stavsberg;SN12320;14.12.2023 02:00;-7,6;3;3,8
Hamar - Stavsberg;SN12320;14.12.2023 03:00;-7,8;2,6;3
Hamar - Stavsberg;SN12320;14.12.2023 04:00;-7,8;2,5;3
Hamar - Stavsberg;SN12320;14.12.2023 05:00;-8;2,6;3,7
Hamar - Stavsberg;SN12320;14.12.2023 06:00;-8,1;2,6;3,4
Hamar - Stavsberg;SN12320;14.12.2023 07:00;-8,3;1,6;2,5
Hamar - Stavsberg;SN12320;14.12.2023 08:00;-8,6;1,7;2,4
Hamar - Stavsberg;SN12320;14.12.2023 09:00;-8,8;1;1,8
Hamar - Stavsberg;SN12320;14.12.2023 10:00;-9;1,3;1,6
Hamar - Stavsberg;SN12320;14.12.2023 11:00;-8,8;1,2;1,9
Hamar - Stavsberg;SN12320;14.12.2023 12:00;-8,9;1,1;1,6
Hamar - Stavsberg;SN12320;14.12.2023 13:00;-8,9;1;1,3
Hamar - Stavsberg;SN12320;14.12.2023 14:00;-8,5;0,7;0,8
Hamar - Stavsberg;SN12320;14.12.2023 15:00;-8,6;1;1,2
Hamar - Stavsberg;SN12320;14.12.2023 16:00;-8,7;1;1,3
Hamar - Stavsberg;SN12320;14.12.2023 17:00;-8,6;1,3;1,5
Hamar - Stavsberg;SN12320;14.12.2023 18:00;-8,5;1,2;1,4
Hamar - Stavsberg;SN12320;14.12.2023 19:00;-8,4;1;1,2
Hamar - Stavsberg;SN12320;14.12.2023 20:00;-8,7;1,5;1,7
Hamar - Stavsberg;SN12320;14.12.2023 21:00;-8,7;1,5;1,8
Hamar - Stavsberg;SN12320;14.12.2023 22:00;-9,3;1,7;2
Hamar - Stavsberg;SN12320;14.12.2023 23:00;-9,1;1,7;2
Hamar - Stavsberg;SN12320;15.12.2023 00:00;-8,4;2;2,9
Hamar - Stavsberg;SN12320;15.12.2023 01:00;-8,5;2,6;3,7
Hamar - Stavsberg;SN12320;15.12.2023 02:00;-8,7;3,7;5,2
Hamar - Stavsberg;SN12320;15.12.2023 03:00;-8,9;3,5;4,9
Hamar - Stavsberg;SN12320;15.12.2023 04:00;-8,9;3,3;4,4
Hamar - Stavsberg;SN12320;15.12.2023 05:00;-9;3;5,2
Hamar - Stavsberg;SN12320;15.12.2023 06:00;-9,1;2,9;4,7
Hamar - Stavsberg;SN12320;15.12.2023 07:00;-10,4;1,9;2
Hamar - Stavsberg;SN12320;15.12.2023 08:00;-11,1;1,5;2,6
Hamar - Stavsberg;SN12320;15.12.2023 09:00;-11,1;3;4,1
Hamar - Stavsberg;SN12320;15.12.2023 10:00;-11;1,8;2,5
Hamar - Stavsberg;SN12320;15.12.2023 11:00;-11,8;2,1;2,9
Hamar - Stavsberg;SN12320;15.12.2023 12:00;-11,5;1,5;2,3
Hamar - Stavsberg;SN12320;15.12.2023 13:00;-11,1;1,7;2,5
Hamar - Stavsberg;SN12320;15.12.2023 14:00;-11,4;1,7;2,3
Hamar - Stavsberg;SN12320;15.12.2023 15:00;-10,8;0,6;1,1
Hamar - Stavsberg;SN12320;15.12.2023 16:00;-10,7;0,8;1,2
Hamar - Stavsberg;SN12320;15.12.2023 17:00;-10,7;1,6;2,1
Hamar - Stavsberg;SN12320;15.12.2023 18:00;-11,8;1,5;2,2
Hamar - Stavsberg;SN12320;15.12.2023 19:00;-11,4;1,5;1,7
Hamar - Stavsberg;SN12320;15.12.2023 20:00;-12,5;1,1;1,8
Hamar - Stavsberg;SN12320;15.12.2023 21:00;-12,5;1,1;1,8
Hamar - Stavsberg;SN12320;15.12.2023 22:00;-12,5;2,5;2,7
Hamar - Stavsberg;SN12320;15.12.2023 23:00;-12,3;1,6;2,1
Hamar - Stavsberg;SN12320;16.12.2023 00:00;-11,4;1,5;2
Hamar - Stavsberg;SN12320;16.12.2023 01:00;-10,8;1,3;2
Hamar - Stavsberg;SN12320;16.12.2023 02:00;-10,8;1,3;1,8
Hamar - Stavsberg;SN12320;16.12.2023 03:00;-9,7;1,5;2,4
Hamar - Stavsberg;SN12320;16.12.2023 04:00;-9,1;1,4;2
Hamar - Stavsberg;SN12320;16.12.2023 05:00;-8,5;1,1;1,8
Hamar - Stavsberg;SN12320;16.12.2023 06:00;-7,2;1,6;3,1
Hamar - Stavsberg;SN12320;16.12.2023 07:00;-8,1;1,8;2,5
Hamar - Stavsberg;SN12320;16.12.2023 08:00;-7,6;1,5;2
Hamar - Stavsberg;SN12320;16.12.2023 09:00;-7;1,2;1,9
Hamar - Stavsberg;SN12320;16.12.2023 10:00;-6,7;1,3;2
Hamar - Stavsberg;SN12320;16.12.2023 11:00;-5,8;1,4;2,6
Hamar - Stavsberg;SN12320;16.12.2023 12:00;-3,5;1,4;2,8
Hamar - Stavsberg;SN12320;16.12.2023 13:00;-2,1;1,8;2,9
Hamar - Stavsberg;SN12320;16.12.2023 14:00;-1,8;1,1;1,6
Hamar - Stavsberg;SN12320;16.12.2023 15:00;-1,9;2,4;2,8
Hamar - Stavsberg;SN12320;16.12.2023 16:00;-1,4;1,7;2,8
Hamar - Stavsberg;SN12320;16.12.2023 17:00;-1,1;1,6;2,1
Hamar - Stavsberg;SN12320;16.12.2023 18:00;-0,5;1,9;2,3
Hamar - Stavsberg;SN12320;16.12.2023 19:00;-0,2;1,4;2,5
Hamar - Stavsberg;SN12320;16.12.2023 20:00;-1,5;2,6;4,4
Hamar - Stavsberg;SN12320;16.12.2023 21:00;0,3;3,7;5,8
Hamar - Stavsberg;SN12320;16.12.2023 22:00;2,4;4,1;6,7
Hamar - Stavsberg;SN12320;16.12.2023 23:00;2,9;4,1;6,3
Hamar - Stavsberg;SN12320;17.12.2023 00:00;0,2;2,8;4,4
Hamar - Stavsberg;SN12320;17.12.2023 01:00;1,2;2,7;4,6
Hamar - Stavsberg;SN12320;17.12.2023 02:00;0,3;2;3,8
Hamar - Stavsberg;SN12320;17.12.2023 03:00;-1,8;2,3;3,2
Hamar - Stavsberg;SN12320;17.12.2023 04:00;-1,9;2,5;3,2
Hamar - Stavsberg;SN12320;17.12.2023 05:00;-1,4;1,5;2,3
Hamar - Stavsberg;SN12320;17.12.2023 06:00;-2,5;1,8;2,4
Hamar - Stavsberg;SN12320;17.12.2023 07:00;-2,1;1,4;2,3
Hamar - Stavsberg;SN12320;17.12.2023 08:00;-1,7;1,7;2,2
Hamar - Stavsberg;SN12320;17.12.2023 09:00;-0,9;1,5;2,2
Hamar - Stavsberg;SN12320;17.12.2023 10:00;-0,8;1,8;2,7
Hamar - Stavsberg;SN12320;17.12.2023 11:00;-0,2;2,3;3
Hamar - Stavsberg;SN12320;17.12.2023 12:00;0,3;1,7;2,9
Hamar - Stavsberg;SN12320;17.12.2023 13:00;-0,1;1,5;2,1
Hamar - Stavsberg;SN12320;17.12.2023 14:00;-0,1;1,8;2,6
Hamar - Stavsberg;SN12320;17.12.2023 15:00;-0,3;1,5;1,9
Hamar - Stavsberg;SN12320;17.12.2023 16:00;-0,6;1,5;1,9
Hamar - Stavsberg;SN12320;17.12.2023 17:00;-1,4;1,7;2,5
Hamar - Stavsberg;SN12320;17.12.2023 18:00;-2,4;2,1;3,3
Hamar - Stavsberg;SN12320;17.12.2023 19:00;-1,6;2;2,9
Hamar - Stavsberg;SN12320;17.12.2023 20:00;-2,3;1,5;2,2
Hamar - Stavsberg;SN12320;17.12.2023 21:00;-3,6;1,1;3,2
Hamar - Stavsberg;SN12320;17.12.2023 22:00;-3;1,8;2,4
Hamar - Stavsberg;SN12320;17.12.2023 23:00;-4;1,6;2,4
Hamar - Stavsberg;SN12320;18.12.2023 00:00;-4,9;1,6;3,5
Hamar - Stavsberg;SN12320;18.12.2023 01:00;-4,6;1,8;3,6
Hamar - Stavsberg;SN12320;18.12.2023 02:00;-5,7;2,8;4,3
Hamar - Stavsberg;SN12320;18.12.2023 03:00;-4,1;1,1;2,3
Hamar - Stavsberg;SN12320;18.12.2023 04:00;-4,4;2,6;4,1
Hamar - Stavsberg;SN12320;18.12.2023 05:00;-4,7;2,3;4,7
Hamar - Stavsberg;SN12320;18.12.2023 06:00;-7,3;3,9;7,8
Hamar - Stavsberg;SN12320;18.12.2023 07:00;-5,9;1,8;3
Hamar - Stavsberg;SN12320;18.12.2023 08:00;-5,3;1,4;2,2
Hamar - Stavsberg;SN12320;18.12.2023 09:00;-5,3;2,1;2,6
Hamar - Stavsberg;SN12320;18.12.2023 10:00;-5,7;1,6;3,4
Hamar - Stavsberg;SN12320;18.12.2023 11:00;-6,9;2,3;3,3
Hamar - Stavsberg;SN12320;18.12.2023 12:00;-7,7;1,1;2
Hamar - Stavsberg;SN12320;18.12.2023 13:00;-7,4;1,7;2,4
Hamar - Stavsberg;SN12320;18.12.2023 14:00;-6,7;1,3;2,1
Hamar - Stavsberg;SN12320;18.12.2023 15:00;-4,9;1,2;2
Hamar - Stavsberg;SN12320;18.12.2023 16:00;-3,3;1,2;1,8
Hamar - Stavsberg;SN12320;18.12.2023 17:00;-3,1;1,5;2,9
Hamar - Stavsberg;SN12320;18.12.2023 18:00;-1,9;1,3;1,8
Hamar - Stavsberg;SN12320;18.12.2023 19:00;-1,9;1,3;2,4
Hamar - Stavsberg;SN12320;18.12.2023 20:00;-3,7;1,6;2,5
Hamar - Stavsberg;SN12320;18.12.2023 21:00;-2,2;1,6;2,9
Hamar - Stavsberg;SN12320;18.12.2023 22:00;-1,1;1,7;3,7
Hamar - Stavsberg;SN12320;18.12.2023 23:00;-1;1,8;2,5
Hamar - Stavsberg;SN12320;19.12.2023 00:00;-0,9;1,9;4
Hamar - Stavsberg;SN12320;19.12.2023 01:00;-0,8;1,7;2,8
Hamar - Stavsberg;SN12320;19.12.2023 02:00;0,3;2,1;4,8
Hamar - Stavsberg;SN12320;19.12.2023 03:00;-0,5;3,5;4,8
Hamar - Stavsberg;SN12320;19.12.2023 04:00;-1;2,5;4,9
Hamar - Stavsberg;SN12320;19.12.2023 05:00;-0,7;3,8;7,1
Hamar - Stavsberg;SN12320;19.12.2023 06:00;-0,5;3;5,5
Hamar - Stavsberg;SN12320;19.12.2023 07:00;1,5;2,9;4,7
Hamar - Stavsberg;SN12320;19.12.2023 08:00;1,6;2,9;5,2
Hamar - Stavsberg;SN12320;19.12.2023 09:00;0,6;2,6;4,1
Hamar - Stavsberg;SN12320;19.12.2023 10:00;0,7;2;3,7
Hamar - Stavsberg;SN12320;19.12.2023 11:00;0,1;1,9;3,4
Hamar - Stavsberg;SN12320;19.12.2023 12:00;0,5;2,1;4,7
Hamar - Stavsberg;SN12320;19.12.2023 13:00;-0,7;1,6;3,2
Hamar - Stavsberg;SN12320;19.12.2023 14:00;-0,6;1,6;2,3
Hamar - Stavsberg;SN12320;19.12.2023 15:00;-1,7;1,7;2,5
Hamar - Stavsberg;SN12320;19.12.2023 16:00;-3,7;2;3,4
Hamar - Stavsberg;SN12320;19.12.2023 17:00;-4,2;1,9;2,6
Hamar - Stavsberg;SN12320;19.12.2023 18:00;-5,9;2,5;4,1
Hamar - Stavsberg;SN12320;19.12.2023 19:00;-5,7;1,8;2,6
Hamar - Stavsberg;SN12320;19.12.2023 20:00;-3,9;2,4;3,2
Hamar - Stavsberg;SN12320;19.12.2023 21:00;-5,4;3,1;4,1
Hamar - Stavsberg;SN12320;19.12.2023 22:00;-7,3;2,3;3,3
Hamar - Stavsberg;SN12320;19.12.2023 23:00;-9;2,3;3,1
Hamar - Stavsberg;SN12320;20.12.2023 00:00;-8,8;2,4;3,3
Hamar - Stavsberg;SN12320;20.12.2023 01:00;-6,8;1,7;2,4
Hamar - Stavsberg;SN12320;20.12.2023 02:00;-6,5;1,6;1,9
Hamar - Stavsberg;SN12320;20.12.2023 03:00;-6;3,7;4,6
Hamar - Stavsberg;SN12320;20.12.2023 04:00;-7,8;3,6;4,2
Hamar - Stavsberg;SN12320;20.12.2023 05:00;-6,3;2,2;2,9
Hamar - Stavsberg;SN12320;20.12.2023 06:00;-6,2;1,7;2,5
Hamar - Stavsberg;SN12320;20.12.2023 07:00;-5,2;1,2;2
Hamar - Stavsberg;SN12320;20.12.2023 08:00;-4,9;1,6;2,6
Hamar - Stavsberg;SN12320;20.12.2023 09:00;-4,7;1,8;2,8
Hamar - Stavsberg;SN12320;20.12.2023 10:00;-4,8;2,4;2,9
Hamar - Stavsberg;SN12320;20.12.2023 11:00;-4,4;2,4;4,2
Hamar - Stavsberg;SN12320;20.12.2023 12:00;-4,6;2,8;4,4
Hamar - Stavsberg;SN12320;20.12.2023 13:00;-4,6;1,4;2
Hamar - Stavsberg;SN12320;20.12.2023 14:00;-4,8;1,4;1,9
Hamar - Stavsberg;SN12320;20.12.2023 15:00;-5,2;0,9;1,4
Hamar - Stavsberg;SN12320;20.12.2023 16:00;-6,3;1,3;1,8
Hamar - Stavsberg;SN12320;20.12.2023 17:00;-7;1,3;1,7
Hamar - Stavsberg;SN12320;20.12.2023 18:00;-7,8;1,4;2
Hamar - Stavsberg;SN12320;20.12.2023 19:00;-8,8;1,4;2,3
Hamar - Stavsberg;SN12320;20.12.2023 20:00;-8,6;1,8;2,2
Hamar - Stavsberg;SN12320;20.12.2023 21:00;-7,6;1,4;2,2
Hamar - Stavsberg;SN12320;20.12.2023 22:00;-8,1;1,3;2
Hamar - Stavsberg;SN12320;20.12.2023 23:00;-9,1;1,1;2,2
Hamar - Stavsberg;SN12320;21.12.2023 00:00;-9,8;1,6;2,6
Hamar - Stavsberg;SN12320;21.12.2023 01:00;-9,9;1,9;2,5
Hamar - Stavsberg;SN12320;21.12.2023 02:00;-9,7;1,5;1,9
Hamar - Stavsberg;SN12320;21.12.2023 03:00;-9,5;1,5;2,1
Hamar - Stavsberg;SN12320;21.12.2023 04:00;-9,4;1,5;2,9
Hamar - Stavsberg;SN12320;21.12.2023 05:00;-8,2;1,9;3,5
Hamar - Stavsberg;SN12320;21.12.2023 06:00;-7,1;2,3;4,4
Hamar - Stavsberg;SN12320;21.12.2023 07:00;-7;2,6;5,4
Hamar - Stavsberg;SN12320;21.12.2023 08:00;-6,7;2,5;4,4
Hamar - Stavsberg;SN12320;21.12.2023 09:00;-6;3,2;6
Hamar - Stavsberg;SN12320;21.12.2023 10:00;-5,4;4,6;8,1
Hamar - Stavsberg;SN12320;21.12.2023 11:00;-5,3;4,4;7,3
Hamar - Stavsberg;SN12320;21.12.2023 12:00;-5,2;4;6,7
Hamar - Stavsberg;SN12320;21.12.2023 13:00;-5;4,1;6,9
Hamar - Stavsberg;SN12320;21.12.2023 14:00;-4,6;4,4;7,2
Hamar - Stavsberg;SN12320;21.12.2023 15:00;-4,1;4,9;7,4
Hamar - Stavsberg;SN12320;21.12.2023 16:00;-3,7;6;8,5
Hamar - Stavsberg;SN12320;21.12.2023 17:00;-3,3;5,1;8,6
Hamar - Stavsberg;SN12320;21.12.2023 18:00;-3,4;4;6,2
Hamar - Stavsberg;SN12320;21.12.2023 19:00;-3,3;4;7,1
Hamar - Stavsberg;SN12320;21.12.2023 20:00;-3,2;3,9;6,2
Hamar - Stavsberg;SN12320;21.12.2023 21:00;-3,3;5,4;9,8
Hamar - Stavsberg;SN12320;21.12.2023 22:00;-3,6;5,8;9,1
Hamar - Stavsberg;SN12320;21.12.2023 23:00;-3,7;4,5;6,7
Hamar - Stavsberg;SN12320;22.12.2023 00:00;-3,6;4,5;6,8
Hamar - Stavsberg;SN12320;22.12.2023 01:00;-3,6;3,7;5,2
Hamar - Stavsberg;SN12320;22.12.2023 02:00;-3,4;3,5;5
Hamar - Stavsberg;SN12320;22.12.2023 03:00;-3,4;3,9;5,5
Hamar - Stavsberg;SN12320;22.12.2023 04:00;-3,8;3,3;9,7
Hamar - Stavsberg;SN12320;22.12.2023 05:00;-3,4;5,3;8,7
Hamar - Stavsberg;SN12320;22.12.2023 06:00;-3,4;5,8;7,7
Hamar - Stavsberg;SN12320;22.12.2023 07:00;-3,3;4,7;5,2
Hamar - Stavsberg;SN12320;22.12.2023 08:00;-3,1;3,3;4,8
Hamar - Stavsberg;SN12320;22.12.2023 09:00;-3,7;4,5;6,8
Hamar - Stavsberg;SN12320;22.12.2023 10:00;-3,3;4,4;6,7
Hamar - Stavsberg;SN12320;22.12.2023 11:00;-3,3;5,4;8,6
Hamar - Stavsberg;SN12320;22.12.2023 12:00;-2,5;5,8;8,7
Hamar - Stavsberg;SN12320;22.12.2023 13:00;-2,4;8,8;13,2
Hamar - Stavsberg;SN12320;22.12.2023 14:00;-2,6;6,7;9,8
Hamar - Stavsberg;SN12320;22.12.2023 15:00;-3;3,3;6,3
Hamar - Stavsberg;SN12320;22.12.2023 16:00;-3;4,4;6,8
Hamar - Stavsberg;SN12320;22.12.2023 17:00;-3,2;4,1;6,3
Hamar - Stavsberg;SN12320;22.12.2023 18:00;-3,6;4;7,3
Hamar - Stavsberg;SN12320;22.12.2023 19:00;-4;3,7;5,9
Hamar - Stavsberg;SN12320;22.12.2023 20:00;-4,4;4,2;7,5
Hamar - Stavsberg;SN12320;22.12.2023 21:00;-4,8;4,9;7,7
Hamar - Stavsberg;SN12320;22.12.2023 22:00;-5,2;5,8;8,5
