"map";"started_timestamp";"duration";"irl_duration";"game_id";"avg_elo";"num_players";"team_0_elo";"team_1_elo";"replay_enhanced";"leaderboard";"mirror";"patch";"raw_match_type";"game_type";"game_speed";"starting_age"
"coastal_forest";"2023/11/19 11:33:30";"2312";"1360";"272910237";"926,750000000000";"4";"924,500000000000";"929,000000000000";FALSE;"team_random_map";FALSE;"95810";"7";"random_map";"normal";"dark"
"socotra";"2023/11/20 18:53:23";"1562.3";"919";"273208561";"517,000000000000";"2";"491,000000000000";"543,000000000000";FALSE;"random_map";FALSE;"95810";"6";"random_map";"normal";"dark"
"arena";"2023/11/20 10:38:05";"2811.8";"1654";"273134051";"508,000000000000";"2";"507,000000000000";"509,000000000000";FALSE;"random_map";FALSE;"95810";"6";"random_map";"normal";"dark"
"enclosed";"2023/11/20 19:11:49";"2983.5";"1755";"273212581";"465,000000000000";"2";"453,000000000000";"477,000000000000";FALSE;"random_map";FALSE;"95810";"6";"random_map";"normal";"dark"
"hideout";"2023/11/20 10:04:41";"3179";"1870";"273131350";"518,500000000000";"2";"514,000000000000";"523,000000000000";FALSE;"random_map";FALSE;"95810";"6";"random_map";"normal";"dark"
"coastal_forest";"2023/11/18 20:04:24";"2153.9";"1267";"272764613";"917,833333333333";"6";"901,333333333333";"934,333333333333";FALSE;"team_random_map";FALSE;"95810";"8";"random_map";"normal";"dark"
"moats";"2023/11/18 21:13:42";"3906.6";"2298";"272779679";"920,500000000000";"6";"935,000000000000";"906,000000000000";FALSE;"team_random_map";FALSE;"95810";"8";"random_map";"normal";"dark"
"ghost_lake";"2023/11/18 22:00:22";"6494";"3820";"272789659";"923,666666666667";"6";"917,666666666667";"929,666666666667";FALSE;"team_random_map";FALSE;"95810";"8";"random_map";"normal";"dark"
"coastal_forest";"2023/11/18 20:30:53";"3564.9";"2097";"272770378";"924,000000000000";"6";"918,666666666667";"929,333333333333";FALSE;"team_random_map";FALSE;"95810";"8";"random_map";"normal";"dark"
"nomad";"2023/11/18 14:32:09";"3415.3";"2009";"272692198";"943,500000000000";"4";"918,500000000000";"968,500000000000";FALSE;"team_random_map";FALSE;"95810";"7";"random_map";"normal";"dark"
"socotra";"2023/11/18 18:42:11";"2981.8";"1754";"272746900";"1012,375000000000";"8";"1016,250000000000";"1008,500000000000";FALSE;"team_random_map";FALSE;"95810";"9";"random_map";"normal";"dark"
"socotra";"2023/11/18 16:32:06";"3141.6";"1848";"272719916";"996,500000000000";"4";"1007,000000000000";"986,000000000000";FALSE;"team_random_map";FALSE;"95810";"7";"random_map";"normal";"dark"
